gene_name	chrom	arm	start	end	strand	gene_id
NMUR1	chr2	q	232387871	232395206	-	ENSG00000171596.6
C2orf57	chr2	q	232457575	232458994	+	ENSG00000177673.2
MGC4771	chr2	q	232571517	232571621	-	ENSG00000269363.1
PTMA	chr2	q	232571605	232578251	+	ENSG00000187514.10
PDE6D	chr2	q	232597135	232650982	-	ENSG00000156973.9
COPS7B	chr2	q	232646381	232673963	+	ENSG00000144524.13
NPPC	chr2	q	232786530	232791113	-	ENSG00000163273.3
DIS3L2	chr2	q	232825955	233209060	+	ENSG00000144535.15
ALPP	chr2	q	233243244	233247599	+	ENSG00000163283.6
ALPPL2	chr2	q	233271553	233275424	+	ENSG00000163286.3
ALPI	chr2	q	233320833	233324742	+	ENSG00000163295.4
ECEL1	chr2	q	233344537	233352538	-	ENSG00000171551.7
PRSS56	chr2	q	233385173	233390422	+	ENSG00000237412.2
CHRND	chr2	q	233390703	233401377	+	ENSG00000135902.5
CHRNG	chr2	q	233404437	233411113	+	ENSG00000196811.7
TIGD1	chr2	q	233412779	233415226	-	ENSG00000221944.3
EIF4E2	chr2	q	233414762	233448354	+	ENSG00000135930.9
EFHD1	chr2	q	233470767	233547491	+	ENSG00000115468.7
GIGYF2	chr2	q	233562009	233725285	+	ENSG00000204120.10
KCNJ13	chr2	q	233631174	233641278	-	ENSG00000115474.6
C2orf82	chr2	q	233721980	233743418	+	ENSG00000182600.5
NGEF	chr2	q	233743396	233877982	-	ENSG00000066248.10
AC106876.2	chr2	q	233877324	233880595	+	ENSG00000222001.2
NEU2	chr2	q	233897382	233899767	+	ENSG00000115488.3
INPP5D	chr2	q	233924677	234116549	+	ENSG00000168918.9
ATG16L1	chr2	q	234118697	234204320	+	ENSG00000085978.17
SAG	chr2	q	234216462	234255701	+	ENSG00000130561.12
DGKD	chr2	q	234263153	234380750	+	ENSG00000077044.5
USP40	chr2	q	234384166	234475428	-	ENSG00000085982.9
UGT1A1	chr2	q	234526291	234681956	+	ENSG00000241635.3
UGT1A10	chr2	q	234545100	234681951	+	ENSG00000242515.1
UGT1A9	chr2	q	234580499	234681946	+	ENSG00000241119.1
UGT1A7	chr2	q	234590584	234681945	+	ENSG00000244122.2
UGT1A6	chr2	q	234600253	234681946	+	ENSG00000167165.14
UGT1A5	chr2	q	234621638	234681945	+	ENSG00000240224.1
UGT1A4	chr2	q	234627424	234681945	+	ENSG00000244474.1
UGT1A3	chr2	q	234637754	234681945	+	ENSG00000243135.1
UGT1A8	chr2	q	234668894	234681945	+	ENSG00000242366.2
MROH2A	chr2	q	234684370	234742069	+	ENSG00000185038.10
HJURP	chr2	q	234742062	234763212	-	ENSG00000123485.7
TRPM8	chr2	q	234826043	234928166	+	ENSG00000144481.12
SPP2	chr2	q	234959323	234985778	+	ENSG00000072080.6
ARL4C	chr2	q	235401685	235405697	-	ENSG00000188042.5
SH3BP4	chr2	q	235860617	235964358	+	ENSG00000130147.11
AGAP1	chr2	q	236402733	237040444	+	ENSG00000157985.13
AC064874.1	chr2	q	236682499	236692031	-	ENSG00000222007.2
GBX2	chr2	q	237073879	237077012	-	ENSG00000168505.6
ASB18	chr2	q	237102095	237173052	-	ENSG00000182177.9
IQCA1	chr2	q	237232794	237416185	-	ENSG00000132321.12
ACKR3	chr2	q	237476430	237491001	+	ENSG00000144476.5
COPS8	chr2	q	237993955	238009109	+	ENSG00000198612.6
AC112715.2	chr2	q	238165734	238166319	+	ENSG00000224132.2
COL6A3	chr2	q	238232646	238323018	-	ENSG00000163359.11
AC112721.1	chr2	q	238330063	238333919	-	ENSG00000222022.1
MLPH	chr2	q	238394071	238463961	+	ENSG00000115648.9
PRLH	chr2	q	238475217	238475818	+	ENSG00000071677.1
RAB17	chr2	q	238482965	238510257	-	ENSG00000124839.8
AC104667.3	chr2	q	238499663	238504624	+	ENSG00000234949.2
LRRFIP1	chr2	q	238536219	238722325	+	ENSG00000124831.14
RBM44	chr2	q	238707032	238751451	+	ENSG00000177483.7
RAMP1	chr2	q	238767536	238820756	+	ENSG00000132329.6
UBE2F	chr2	q	238875469	238951236	+	ENSG00000184182.14
UBE2F-SCLY	chr2	q	238875656	239008053	+	ENSG00000258984.1
SCLY	chr2	q	238969530	239008054	+	ENSG00000132330.12
ESPNL	chr2	q	239008798	239041928	+	ENSG00000144488.10
KLHL30	chr2	q	239047363	239061588	+	ENSG00000168427.7
FAM132B	chr2	q	239067623	239077541	+	ENSG00000178752.11
ILKAP	chr2	q	239079042	239112370	-	ENSG00000132323.4
AC016757.3	chr2	q	239133193	239140318	-	ENSG00000186235.6
HES6	chr2	q	239146908	239149303	-	ENSG00000144485.6
PER2	chr2	q	239152679	239198743	-	ENSG00000132326.7
AC012485.1	chr2	q	239192329	239192498	+	ENSG00000268396.1
TRAF3IP1	chr2	q	239229082	239309541	+	ENSG00000204104.7
ASB1	chr2	q	239335383	239360891	+	ENSG00000065802.7
TWIST2	chr2	q	239756673	239795893	+	ENSG00000233608.2
HDAC4	chr2	q	239969864	240323348	-	ENSG00000068024.12
AC017028.1	chr2	q	240083493	240084053	-	ENSG00000213828.1
AC062017.1	chr2	q	240323130	240324058	+	ENSG00000222020.2
AC079612.1	chr2	q	240499995	240507788	+	ENSG00000196758.3
AC093802.1	chr2	q	240684554	240724577	+	ENSG00000220256.3
NDUFA10	chr2	q	240831867	240964819	-	ENSG00000130414.7
OR6B2	chr2	q	240968841	240969906	-	ENSG00000182083.6
PRR21	chr2	q	240981230	240982399	-	ENSG00000221961.2
OR6B3	chr2	q	240984494	240985489	-	ENSG00000178586.4
AC013469.1	chr2	q	241053907	241064304	+	ENSG00000267963.1
MYEOV2	chr2	q	241065980	241076224	-	ENSG00000172428.6
OTOS	chr2	q	241078446	241083979	-	ENSG00000178602.3
GPC1	chr2	q	241375088	241407493	+	ENSG00000063660.4
AC110619.2	chr2	q	241388732	241396131	-	ENSG00000218416.3
ANKMY1	chr2	q	241418839	241508626	-	ENSG00000144504.11
DUSP28	chr2	q	241499471	241503431	+	ENSG00000188542.5
RNPEPL1	chr2	q	241505221	241520789	+	ENSG00000142327.7
CAPN10	chr2	q	241526133	241557122	+	ENSG00000142330.15
GPR35	chr2	q	241544848	241570676	+	ENSG00000178623.7
AQP12B	chr2	q	241615835	241622323	-	ENSG00000185176.8
AC011298.1	chr2	q	241624478	241624705	-	ENSG00000268822.1
AQP12A	chr2	q	241631262	241637900	+	ENSG00000184945.9
KIF1A	chr2	q	241653181	241759725	-	ENSG00000130294.10
AGXT	chr2	q	241807896	241819919	+	ENSG00000172482.4
C2orf54	chr2	q	241825465	241836306	-	ENSG00000172478.13
AC104809.3	chr2	q	241858202	241932728	+	ENSG00000226321.3
SNED1	chr2	q	241938255	242034983	+	ENSG00000162804.9
MTERFD2	chr2	q	242011584	242041747	-	ENSG00000122085.12
PASK	chr2	q	242045514	242089679	-	ENSG00000115687.9
PPP1R7	chr2	q	242088991	242123067	+	ENSG00000115685.10
ANO7	chr2	q	242127924	242164792	+	ENSG00000146205.9
HDLBP	chr2	q	242166679	242256476	-	ENSG00000115677.12
AC104841.2	chr2	q	242167319	242168850	+	ENSG00000268485.1
SEPT2	chr2	q	242254515	242293442	+	ENSG00000168385.13
FARP2	chr2	q	242295658	242434256	+	ENSG00000006607.9
STK25	chr2	q	242432089	242449145	-	ENSG00000115694.10
BOK	chr2	q	242498136	242513546	+	ENSG00000176720.3
THAP4	chr2	q	242523820	242576864	-	ENSG00000176946.7
ATG4B	chr2	q	242576628	242613272	+	ENSG00000168397.12
DTYMK	chr2	q	242615157	242626406	-	ENSG00000168393.8
ING5	chr2	q	242641450	242668893	+	ENSG00000168395.10
D2HGDH	chr2	q	242673994	242708231	+	ENSG00000180902.12
GAL3ST2	chr2	q	242716240	242743623	+	ENSG00000154252.11
NEU4	chr2	q	242749920	242758739	+	ENSG00000204099.7
PDCD1	chr2	q	242792033	242801060	-	ENSG00000188389.6
CXXC11	chr2	q	242811752	242815975	+	ENSG00000188011.5
AC131097.4	chr2	q	242836136	242844702	-	ENSG00000216921.3
CHL1	chr3	p	238279	451090	+	ENSG00000134121.5
CNTN6	chr3	p	1134260	1445901	+	ENSG00000134115.8
CNTN4	chr3	p	2140497	3099645	+	ENSG00000144619.10
IL5RA	chr3	p	3111233	3168297	-	ENSG00000091181.15
TRNT1	chr3	p	3168600	3192563	+	ENSG00000072756.12
CRBN	chr3	p	3190676	3221394	-	ENSG00000113851.9
SUMF1	chr3	p	3742498	4508965	-	ENSG00000144455.9
LRRN1	chr3	p	3841121	3889387	+	ENSG00000175928.5
SETMAR	chr3	p	4344988	4359251	+	ENSG00000170364.8
ITPR1	chr3	p	4535032	4889524	+	ENSG00000150995.13
AC018816.3	chr3	p	4855978	4928977	-	ENSG00000235978.2
BHLHE40	chr3	p	5020801	5027008	+	ENSG00000134107.4
ARL8B	chr3	p	5163905	5222596	+	ENSG00000134108.8
AC026202.1	chr3	p	5229227	5229982	-	ENSG00000268509.1
EDEM1	chr3	p	5229331	5261642	+	ENSG00000134109.6
GRM7	chr3	p	6811688	7783215	+	ENSG00000196277.11
LMCD1	chr3	p	8543393	8609805	+	ENSG00000071282.7
SSUH2	chr3	p	8661086	8786726	-	ENSG00000125046.10
CAV3	chr3	p	8775486	8883492	+	ENSG00000182533.6
OXTR	chr3	p	8792094	8811314	-	ENSG00000180914.6
RAD18	chr3	p	8817088	9005457	-	ENSG00000070950.5
SRGAP3	chr3	p	9022275	9404737	-	ENSG00000196220.11
THUMPD3	chr3	p	9404526	9428475	+	ENSG00000134077.11
SETD5	chr3	p	9439299	9520924	+	ENSG00000168137.11
LHFPL4	chr3	p	9543481	9595486	-	ENSG00000156959.7
MTMR14	chr3	p	9691117	9744077	+	ENSG00000163719.14
CPNE9	chr3	p	9745491	9771592	+	ENSG00000144550.8
BRPF1	chr3	p	9773413	9789702	+	ENSG00000156983.11
OGG1	chr3	p	9791628	9829903	+	ENSG00000114026.17
CAMK1	chr3	p	9799026	9811676	-	ENSG00000134072.6
TADA3	chr3	p	9821544	9834695	-	ENSG00000171148.9
ARPC4	chr3	p	9834179	9849410	+	ENSG00000241553.8
ARPC4-TTLL3	chr3	p	9834766	9877085	+	ENSG00000250151.5
TTLL3	chr3	p	9849770	9896822	+	ENSG00000214021.11
RPUSD3	chr3	p	9879533	9886286	-	ENSG00000156990.10
CIDEC	chr3	p	9908398	9921938	-	ENSG00000187288.6
JAGN1	chr3	p	9932238	9936033	+	ENSG00000171135.10
IL17RE	chr3	p	9944296	9958086	+	ENSG00000163701.14
IL17RC	chr3	p	9958758	9975314	+	ENSG00000163702.14
CRELD1	chr3	p	9975506	9987097	+	ENSG00000163703.13
PRRT3	chr3	p	9987226	9994078	-	ENSG00000163704.7
EMC3	chr3	p	10004221	10052800	-	ENSG00000125037.8
FANCD2	chr3	p	10068098	10143614	+	ENSG00000144554.6
FANCD2OS	chr3	p	10123001	10149915	-	ENSG00000163705.8
BRK1	chr3	p	10157276	10168874	+	ENSG00000254999.2
VHL	chr3	p	10182692	10193904	+	ENSG00000134086.7
IRAK2	chr3	p	10206549	10285427	+	ENSG00000134070.4
TATDN2	chr3	p	10289707	10322902	+	ENSG00000157014.6
RP11-438J1.1	chr3	p	10291056	10327480	+	ENSG00000272410.1
GHRL	chr3	p	10327359	10334631	-	ENSG00000157017.11
SEC13	chr3	p	10334815	10362862	-	ENSG00000157020.13
ATP2B2	chr3	p	10365707	10749716	-	ENSG00000157087.12
SLC6A11	chr3	p	10857885	10982419	+	ENSG00000132164.5
SLC6A1	chr3	p	11034410	11080933	+	ENSG00000157103.6
HRH1	chr3	p	11178779	11305243	+	ENSG00000196639.6
ATG7	chr3	p	11313995	11599139	+	ENSG00000197548.8
VGLL4	chr3	p	11597544	11762220	-	ENSG00000144560.9
TAMM41	chr3	p	11831916	11888393	-	ENSG00000144559.6
TIMP4	chr3	p	12194551	12200851	-	ENSG00000157150.4
PPARG	chr3	p	12328867	12475855	+	ENSG00000132170.15
TSEN2	chr3	p	12525931	12581122	+	ENSG00000154743.13
C3orf83	chr3	p	12556433	12602558	-	ENSG00000225526.4
MKRN2	chr3	p	12598513	12625212	+	ENSG00000075975.11
RAF1	chr3	p	12625100	12705725	-	ENSG00000132155.7
TMEM40	chr3	p	12775024	12810956	-	ENSG00000088726.11
CAND2	chr3	p	12837971	12913415	+	ENSG00000144712.7
RPL32	chr3	p	12875984	12883087	-	ENSG00000144713.8
IQSEC1	chr3	p	12938719	13114617	-	ENSG00000144711.9
NUP210	chr3	p	13357737	13461809	-	ENSG00000132182.7
HDAC11	chr3	p	13521224	13547916	+	ENSG00000163517.10
FBLN2	chr3	p	13573824	13679922	+	ENSG00000163520.9
WNT7A	chr3	p	13857755	13921618	-	ENSG00000154764.5
TPRXL	chr3	p	13978756	14124311	+	ENSG00000180438.10
CHCHD4	chr3	p	14153580	14166370	-	ENSG00000163528.8
TMEM43	chr3	p	14166440	14185179	+	ENSG00000170876.7
RP11-434D12.1	chr3	p	14176717	14189548	+	ENSG00000268279.2
XPC	chr3	p	14186647	14220283	-	ENSG00000154767.10
LSM3	chr3	p	14219858	14242619	+	ENSG00000170860.3
SLC6A6	chr3	p	14444076	14530857	+	ENSG00000131389.12
CCDC174	chr3	p	14693271	14714166	+	ENSG00000154781.11
C3orf20	chr3	p	14716606	14814541	+	ENSG00000131379.5
FGD5	chr3	p	14860469	14975895	+	ENSG00000154783.6
NR2C2	chr3	p	14989091	15095107	+	ENSG00000177463.11
MRPS25	chr3	p	15083967	15106842	-	ENSG00000131368.3
ZFYVE20	chr3	p	15111580	15140670	-	ENSG00000131381.8
CAPN7	chr3	p	15247659	15294425	+	ENSG00000131375.5
SH3BP5	chr3	p	15296360	15382875	-	ENSG00000131370.11
METTL6	chr3	p	15422782	15482073	-	ENSG00000206562.7
EAF1	chr3	p	15468862	15484120	+	ENSG00000144597.9
COLQ	chr3	p	15491640	15563258	-	ENSG00000206561.8
HACL1	chr3	p	15602211	15643338	-	ENSG00000131373.10
BTD	chr3	p	15642848	15687329	+	ENSG00000169814.8
ANKRD28	chr3	p	15708743	15901278	-	ENSG00000206560.6
GALNT15	chr3	p	16216156	16273499	+	ENSG00000131386.13
DPH3	chr3	p	16299485	16306479	-	ENSG00000154813.5
OXNAD1	chr3	p	16306706	16391806	+	ENSG00000154814.9
RFTN1	chr3	p	16355081	16555533	-	ENSG00000131378.9
DAZL	chr3	p	16628299	16711813	-	ENSG00000092345.9
PLCL2	chr3	p	16844159	17132086	+	ENSG00000154822.11
TBC1D5	chr3	p	17198654	18486309	-	ENSG00000131374.10
SATB1	chr3	p	18386879	18487080	-	ENSG00000182568.12
KCNH8	chr3	p	19189946	19577138	+	ENSG00000183960.4
EFHB	chr3	p	19920964	19988517	-	ENSG00000163576.13
RAB5A	chr3	p	19988571	20026667	+	ENSG00000144566.6
PP2D1	chr3	p	20021453	20053822	-	ENSG00000183977.9
KAT2B	chr3	p	20081515	20195896	+	ENSG00000114166.7
SGOL1	chr3	p	20202085	20227784	-	ENSG00000129810.10
ZNF385D	chr3	p	21459915	22414812	-	ENSG00000151789.5
UBE2E2	chr3	p	23244511	23633284	+	ENSG00000182247.5
UBE2E1	chr3	p	23847394	23932807	+	ENSG00000170142.7
NKIRAS1	chr3	p	23933151	23988082	-	ENSG00000197885.6
RPL15	chr3	p	23958036	23965183	+	ENSG00000174748.14
NR1D2	chr3	p	23986751	24022109	+	ENSG00000174738.8
THRB	chr3	p	24158651	24536773	-	ENSG00000151090.13
RARB	chr3	p	25215823	25639423	+	ENSG00000077092.14
TOP2B	chr3	p	25639475	25706398	-	ENSG00000077097.9
NGLY1	chr3	p	25760435	25831530	-	ENSG00000151092.12
OXSM	chr3	p	25824408	25836025	+	ENSG00000151093.3
LINC00692	chr3	p	25900024	25915191	-	ENSG00000230891.2
LRRC3B	chr3	p	26664297	26752267	+	ENSG00000179796.7
NEK10	chr3	p	27151576	27410951	-	ENSG00000163491.12
SLC4A7	chr3	p	27414214	27525911	-	ENSG00000033867.12
EOMES	chr3	p	27757440	27764206	-	ENSG00000163508.8
CMC1	chr3	p	28283075	28366633	+	ENSG00000187118.8
AZI2	chr3	p	28356494	28390618	-	ENSG00000163512.9
ZCWPW2	chr3	p	28390637	28579613	+	ENSG00000206559.3
RBMS3	chr3	p	29322473	30051886	+	ENSG00000144642.16
TGFBR2	chr3	p	30647994	30735634	+	ENSG00000163513.13
GADL1	chr3	p	30767692	30936257	-	ENSG00000144644.10
STT3B	chr3	p	31574130	31679112	+	ENSG00000163527.5
OSBPL10	chr3	p	31699382	32119072	-	ENSG00000144645.9
ZNF860	chr3	p	32023263	32033120	+	ENSG00000197385.5
GPD1L	chr3	p	32147181	32210205	+	ENSG00000152642.6
CMTM8	chr3	p	32280171	32411817	+	ENSG00000170293.4
CMTM7	chr3	p	32433163	32524559	+	ENSG00000153551.9
CMTM6	chr3	p	32522804	32544900	-	ENSG00000091317.7
DYNC1LI1	chr3	p	32567463	32612366	-	ENSG00000144635.4
CNOT10	chr3	p	32726637	32815367	+	ENSG00000182973.14
TRIM71	chr3	p	32859510	32939318	+	ENSG00000206557.5
CCR4	chr3	p	32993066	32997841	+	ENSG00000183813.6
GLB1	chr3	p	33038100	33138722	-	ENSG00000170266.11
TMPPE	chr3	p	33131913	33138293	-	ENSG00000188167.4
CRTAP	chr3	p	33155471	33189265	+	ENSG00000170275.10
SUSD5	chr3	p	33191537	33260707	-	ENSG00000173705.4
FBXL2	chr3	p	33318517	33445154	+	ENSG00000153558.9
UBP1	chr3	p	33429828	33482863	-	ENSG00000153560.7
CLASP2	chr3	p	33537737	33759848	-	ENSG00000163539.11
PDCD6IP	chr3	p	33839844	33911194	+	ENSG00000170248.9
ARPP21	chr3	p	35680437	35835988	+	ENSG00000172995.12
STAC	chr3	p	36421836	36589499	+	ENSG00000144681.6
DCLK3	chr3	p	36753913	36781352	-	ENSG00000163673.6
TRANK1	chr3	p	36868311	36986548	-	ENSG00000168016.9
EPM2AIP1	chr3	p	37027357	37034795	-	ENSG00000178567.5
MLH1	chr3	p	37034823	37107380	+	ENSG00000076242.10
LRRFIP2	chr3	p	37094117	37225180	-	ENSG00000093167.13
GOLGA4	chr3	p	37284668	37408242	+	ENSG00000144674.12
C3orf35	chr3	p	37427760	37476988	+	ENSG00000198590.7
ITGA9	chr3	p	37493606	37865005	+	ENSG00000144668.7
CTDSPL	chr3	p	37903451	38025960	+	ENSG00000144677.10
VILL	chr3	p	38029550	38048679	+	ENSG00000136059.10
PLCD1	chr3	p	38048987	38071253	-	ENSG00000187091.9
DLEC1	chr3	p	38080696	38165516	+	ENSG00000008226.15
ACAA1	chr3	p	38144620	38178733	-	ENSG00000060971.13
MYD88	chr3	p	38179969	38184513	+	ENSG00000172936.8
OXSR1	chr3	p	38206580	38296979	+	ENSG00000172939.4
SLC22A13	chr3	p	38307303	38319806	+	ENSG00000172940.7
SLC22A14	chr3	p	38323785	38360066	+	ENSG00000144671.6
XYLB	chr3	p	38388251	38462839	+	ENSG00000093217.5
ACVR2B	chr3	p	38495342	38534633	+	ENSG00000114739.9
EXOG	chr3	p	38537618	38583652	+	ENSG00000157036.8
SCN5A	chr3	p	38589548	38691164	-	ENSG00000183873.11
SCN10A	chr3	p	38738293	38835501	-	ENSG00000185313.6
SCN11A	chr3	p	38887260	38992052	-	ENSG00000168356.7
WDR48	chr3	p	39093489	39138155	+	ENSG00000114742.9
GORASP1	chr3	p	39138150	39149854	-	ENSG00000114745.9
TTC21A	chr3	p	39149152	39180394	+	ENSG00000168026.12
CSRNP1	chr3	p	39183346	39196053	-	ENSG00000144655.10
XIRP1	chr3	p	39224701	39234087	-	ENSG00000168334.8
CX3CR1	chr3	p	39304985	39323226	-	ENSG00000168329.9
CCR8	chr3	p	39371197	39375171	+	ENSG00000179934.5
SLC25A38	chr3	p	39424839	39438842	+	ENSG00000144659.6
RPSA	chr3	p	39448180	39454033	+	ENSG00000168028.9
MOBP	chr3	p	39508689	39570970	+	ENSG00000168314.13
MYRIP	chr3	p	39850405	40301812	+	ENSG00000170011.9
EIF1B	chr3	p	40351175	40353915	+	ENSG00000114784.3
ENTPD3	chr3	p	40428647	40470110	+	ENSG00000168032.4
RPL14	chr3	p	40498783	40503861	+	ENSG00000188846.9
ZNF619	chr3	p	40518604	40531727	+	ENSG00000177873.8
ZNF620	chr3	p	40547483	40560227	+	ENSG00000177842.7
ZNF621	chr3	p	40566369	40616176	+	ENSG00000172888.7
CTNNB1	chr3	p	41236328	41301587	+	ENSG00000168036.12
ULK4	chr3	p	41288090	42003922	-	ENSG00000168038.6
TRAK1	chr3	p	42055294	42267381	+	ENSG00000182606.10
CCK	chr3	p	42299317	42307699	-	ENSG00000187094.7
LYZL4	chr3	p	42438570	42452092	-	ENSG00000157093.4
VIPR1	chr3	p	42530791	42579059	+	ENSG00000114812.8
SEC22C	chr3	p	42589461	42642572	-	ENSG00000093183.9
SS18L2	chr3	p	42623332	42636606	+	ENSG00000008324.6
NKTR	chr3	p	42642106	42690227	+	ENSG00000114857.13
ZBTB47	chr3	p	42695176	42709072	+	ENSG00000114853.9
KLHL40	chr3	p	42727011	42734036	+	ENSG00000157119.11
CCDC13	chr3	p	42734155	42814745	-	ENSG00000244607.1
HHATL	chr3	p	42734155	42744319	-	ENSG00000010282.10
HIGD1A	chr3	p	42798669	42846023	-	ENSG00000181061.9
ACKR2	chr3	p	42846244	42929466	+	ENSG00000144648.10
KRBOX1	chr3	p	42850938	43097363	+	ENSG00000273291.1
KRBOX1	chr3	p	42850975	42984284	+	ENSG00000240747.3
CYP8B1	chr3	p	42897497	42917633	-	ENSG00000180432.4
ZNF662	chr3	p	42947223	42960825	+	ENSG00000182983.10
FAM198A	chr3	p	43020759	43101703	+	ENSG00000144649.4
POMGNT2	chr3	p	43120724	43147568	-	ENSG00000144647.5
SNRK	chr3	p	43328004	43466256	+	ENSG00000163788.9
ANO10	chr3	p	43396351	43733086	-	ENSG00000160746.8
ABHD5	chr3	p	43731605	43775863	+	ENSG00000011198.3
TOPAZ1	chr3	p	44283378	44373590	+	ENSG00000173769.4
TCAIM	chr3	p	44379611	44450943	+	ENSG00000179152.14
ZNF445	chr3	p	44481262	44519162	-	ENSG00000185219.11
ZNF852	chr3	p	44540462	44552128	-	ENSG00000178917.10
ZKSCAN7	chr3	p	44596685	44624975	+	ENSG00000196345.8
RP11-944L7.5	chr3	p	44607051	44635665	+	ENSG00000273303.1
ZNF660	chr3	p	44619715	44641186	+	ENSG00000144792.5
ZNF197	chr3	p	44626380	44689963	+	ENSG00000186448.10
ZNF35	chr3	p	44690219	44702283	+	ENSG00000169981.6
ZNF502	chr3	p	44754135	44765323	+	ENSG00000196653.7
ZNF501	chr3	p	44771088	44778575	+	ENSG00000186446.7
KIAA1143	chr3	p	44779153	44803154	-	ENSG00000163807.4
KIF15	chr3	p	44803209	44914868	+	ENSG00000163808.12
TMEM42	chr3	p	44903361	44907162	+	ENSG00000169964.5
TGM4	chr3	p	44916100	44956482	+	ENSG00000163810.7
ZDHHC3	chr3	p	44956749	45017677	-	ENSG00000163812.9
EXOSC7	chr3	p	45016733	45077558	+	ENSG00000075914.8
CLEC3B	chr3	p	45043040	45077563	+	ENSG00000163815.5
CDCP1	chr3	p	45123770	45187914	-	ENSG00000163814.3
TMEM158	chr3	p	45265958	45267770	-	ENSG00000249992.1
LARS2	chr3	p	45429998	45590913	+	ENSG00000011376.5
LIMD1	chr3	p	45596886	45727830	+	ENSG00000144791.5
SACM1L	chr3	p	45730548	45786916	+	ENSG00000211456.6
SLC6A20	chr3	p	45796942	45838027	-	ENSG00000163817.11
LZTFL1	chr3	p	45864808	45957534	-	ENSG00000163818.12
CCR9	chr3	p	45927996	45944667	+	ENSG00000173585.11
FYCO1	chr3	p	45959396	46037316	-	ENSG00000163820.10
CXCR6	chr3	p	45982425	45989845	+	ENSG00000172215.5
XCR1	chr3	p	46058516	46069234	-	ENSG00000173578.6
CCR3	chr3	p	46205096	46308197	+	ENSG00000183625.10
CCR1	chr3	p	46243200	46249887	-	ENSG00000163823.3
CCR2	chr3	p	46395225	46402419	+	ENSG00000121807.5
CCR5	chr3	p	46411633	46417697	+	ENSG00000160791.12
CCRL2	chr3	p	46448654	46454488	+	ENSG00000121797.9
LTF	chr3	p	46477136	46526724	-	ENSG00000012223.8
RTP3	chr3	p	46538981	46542439	+	ENSG00000163825.3
LRRC2	chr3	p	46556913	46621589	-	ENSG00000163827.8
LUZPP1	chr3	p	46598888	46601178	+	ENSG00000268324.1
TDGF1	chr3	p	46616045	46668033	+	ENSG00000241186.3
ALS2CL	chr3	p	46710487	46735194	-	ENSG00000178038.12
TMIE	chr3	p	46742823	46752376	+	ENSG00000181585.3
PRSS50	chr3	p	46753605	46854064	-	ENSG00000206549.8
PRSS46	chr3	p	46761073	46777919	-	ENSG00000261603.1
PRSS45	chr3	p	46783582	46854048	-	ENSG00000188086.8
PRSS42	chr3	p	46871032	46875585	-	ENSG00000178055.8
MYL3	chr3	p	46899362	46923659	-	ENSG00000160808.5
PTH1R	chr3	p	46919236	46945287	+	ENSG00000160801.9
AC109583.1	chr3	p	46927699	46930171	-	ENSG00000268537.1
CCDC12	chr3	p	46963216	47023500	-	ENSG00000160799.7
NBEAL2	chr3	p	47021173	47051193	+	ENSG00000160796.12
SETD2	chr3	p	47057919	47205457	-	ENSG00000181555.15
KIF9	chr3	p	47269516	47324941	-	ENSG00000088727.8
KLHL18	chr3	p	47324407	47388306	+	ENSG00000114648.7
PTPN23	chr3	p	47422501	47454931	+	ENSG00000076201.10
SCAP	chr3	p	47455203	47518616	-	ENSG00000114650.14
ELP6	chr3	p	47537130	47555251	-	ENSG00000163832.11
CSPG5	chr3	p	47603729	47622282	-	ENSG00000114646.5
SMARCC1	chr3	p	47626762	47823596	-	ENSG00000173473.6
DHX30	chr3	p	47844399	47891685	+	ENSG00000132153.10
MAP4	chr3	p	47892182	48130769	-	ENSG00000047849.17
CDC25A	chr3	p	48198636	48229892	-	ENSG00000164045.7
CAMP	chr3	p	48264837	48266981	+	ENSG00000164047.3
ZNF589	chr3	p	48282590	48340743	+	ENSG00000164048.9
NME6	chr3	p	48334754	48343175	-	ENSG00000172113.4
SPINK8	chr3	p	48348336	48369831	-	ENSG00000229453.1
FBXW12	chr3	p	48413709	48442666	+	ENSG00000164049.10
PLXNB1	chr3	p	48445261	48471594	-	ENSG00000164050.8
CCDC51	chr3	p	48473574	48481866	-	ENSG00000164051.9
TMA7	chr3	p	48481667	48485616	+	ENSG00000232112.3
ATRIP	chr3	p	48488114	48507115	+	ENSG00000164053.13
TREX1	chr3	p	48506445	48509044	+	ENSG00000213689.5
SHISA5	chr3	p	48509197	48542259	-	ENSG00000164054.11
PFKFB4	chr3	p	48555117	48599448	-	ENSG00000114268.7
UCN2	chr3	p	48599160	48601206	-	ENSG00000145040.3
COL7A1	chr3	p	48601506	48632700	-	ENSG00000114270.11
UQCRC1	chr3	p	48636435	48648409	-	ENSG00000010256.6
TMEM89	chr3	p	48658192	48659288	-	ENSG00000183396.3
SLC26A6	chr3	p	48663156	48672926	-	ENSG00000225697.6
CELSR3	chr3	p	48673902	48700348	-	ENSG00000008300.10
NCKIPSD	chr3	p	48701364	48723797	-	ENSG00000213672.3
IP6K2	chr3	p	48725436	48777786	-	ENSG00000068745.10
PRKAR2A	chr3	p	48782030	48885279	-	ENSG00000114302.11
SLC25A20	chr3	p	48894369	48936426	-	ENSG00000178537.5
ARIH2OS	chr3	p	48955221	48956818	-	ENSG00000221883.2
ARIH2	chr3	p	48956254	49023815	+	ENSG00000177479.15
P4HTM	chr3	p	49027319	49044587	+	ENSG00000178467.13
WDR6	chr3	p	49044495	49053386	+	ENSG00000178252.13
